Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDE51,5.925,Regular,0.161466534,Dairy,45,OUT010,1998,,Tier 3,Grocery Store,178
FDC14,,Regular,0.072221801,Canned,43,OUT019,1985,Small,Tier 1,Grocery Store,125
FDV38,19.25,Low Fat,0.170348551,Dairy,55,OUT010,1998,,Tier 3,Grocery Store,163
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741
FDP33,18.7,Low Fat,0,Snack Foods,256,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068
FDO23,17.85,Low Fat,0,Breads,93,OUT045,2002,,Tier 2,Supermarket Type1,2174
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174,OUT046,1997,Small,Tier 1,Supermarket Type1,2085
NCX29,10,Low Fat,0.089291137,Health and Hygiene,146,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791
FDV20,,Regular,0.059511812,Fruits and Vegetables,128,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609
FDX10,,Regular,0.123111453,Snack Foods,36,OUT027,1985,Medium,Tier 3,Supermarket Type3,388
FDB34,,Low Fat,0.026480954,Snack Foods,87,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180
FDU02,13.35,Low Fat,0.102511504,Dairy,230,OUT046,1997,Small,Tier 1,Supermarket Type1,3435
FDK43,9.8,Low Fat,0.02681843,Meat,126,OUT013,1987,High,Tier 3,Supermarket Type1,2150
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527
FDC02,21.35,Low Fat,0.069102831,Canned,259,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768
FDL50,12.15,Regular,0.042277867,Canned,126,OUT013,1987,High,Tier 3,Supermarket Type1,373
FDM39,6.42,LF,0.089498926,Dairy,178,OUT010,1998,,Tier 3,Grocery Store,358
NCP05,19.6,Low Fat,0,Health and Hygiene,153,OUT045,2002,,Tier 2,Supermarket Type1,2428
FDV49,10,Low Fat,0.025879577,Canned,265,OUT045,2002,,Tier 2,Supermarket Type1,5815
FDL12,15.85,Regular,0.121632721,Baking Goods,60,OUT046,1997,Small,Tier 1,Supermarket Type1,2576
FDS02,,Regular,0.255394896,Dairy,196,OUT019,1985,Small,Tier 1,Grocery Store,780
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143,OUT046,1997,Small,Tier 1,Supermarket Type1,3134
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141,OUT013,1987,High,Tier 3,Supermarket Type1,850
FDR13,9.895,Regular,0.028696932,Canned,117,OUT013,1987,High,Tier 3,Supermarket Type1,810
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196,OUT017,2007,,Tier 2,Supermarket Type1,3121
NCP18,12.15,Low Fat,0.028760013,Household,151,OUT017,2007,,Tier 2,Supermarket Type1,4815
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258
NCX54,9.195,Low Fat,0.048157338,Household,106,OUT045,2002,,Tier 2,Supermarket Type1,2117
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38,OUT049,1999,Medium,Tier 1,Supermarket Type1,796
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194,OUT046,1997,Small,Tier 1,Supermarket Type1,4910
FDI26,,Low Fat,0.061082177,Canned,180,OUT019,1985,Small,Tier 1,Grocery Store,892
FDM20,10,Low Fat,0,Fruits and Vegetables,246,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185
FDV27,7.97,Regular,0.040071131,Meat,87,OUT045,2002,,Tier 2,Supermarket Type1,1062
FDF09,,Low Fat,0.012090074,Fruits and Vegetables,38,OUT027,1985,Medium,Tier 3,Supermarket Type3,484
FDY40,,Regular,0.15028599,Frozen Foods,51,OUT019,1985,Small,Tier 1,Grocery Store,147
FDY45,,Low Fat,0.026015519,Snack Foods,255,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543
FDC46,17.7,LF,0.195068226,Snack Foods,185,OUT010,1998,,Tier 3,Grocery Store,184
FDH19,19.35,Low Fat,0.033082215,Meat,172,OUT035,2004,Small,Tier 2,Supermarket Type1,4865
FDZ03,13.65,Regular,0.078946455,Dairy,186,OUT045,2002,,Tier 2,Supermarket Type1,1118
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164,OUT045,2002,,Tier 2,Supermarket Type1,2302
NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95,OUT046,1997,Small,Tier 1,Supermarket Type1,2027
FDJ58,15.6,Regular,0.105296072,Snack Foods,170,OUT046,1997,Small,Tier 1,Supermarket Type1,3435
FDL12,15.85,Regular,0.121531501,Baking Goods,59,OUT013,1987,High,Tier 3,Supermarket Type1,599
FDH35,18.25,Low Fat,0,Starchy Foods,164,OUT045,2002,,Tier 2,Supermarket Type1,4604
FDG02,7.855,Low Fat,0.011324862,Canned,189,OUT017,2007,,Tier 2,Supermarket Type1,2285
NCZ18,7.825,low fat,0.186357148,Household,254,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580
FDC29,8.39,Regular,0.024205661,Frozen Foods,114,OUT046,1997,Small,Tier 1,Supermarket Type1,2290
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207
FDN48,,Low Fat,0.113720344,Baking Goods,89,OUT019,1985,Small,Tier 1,Grocery Store,643
FDL04,19,Low Fat,0.112556507,Frozen Foods,104,OUT017,2007,,Tier 2,Supermarket Type1,1587
FDV25,5.905,Low Fat,0,Canned,222,OUT045,2002,,Tier 2,Supermarket Type1,5305
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101,OUT046,1997,Small,Tier 1,Supermarket Type1,1697
FDN04,11.8,reg,0.014087057,Frozen Foods,180,OUT046,1997,Small,Tier 1,Supermarket Type1,1427
FDV45,16.75,low fat,0.045230944,Snack Foods,187,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693
NCL18,,Low Fat,0.293417759,Household,194,OUT019,1985,Small,Tier 1,Grocery Store,583
FDR12,,Regular,0.031382044,Baking Goods,171,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177,OUT017,2007,,Tier 2,Supermarket Type1,2479
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160,OUT035,2004,Small,Tier 2,Supermarket Type1,2716
FDQ49,,Regular,0.039057677,Breakfast,155,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285
FDN33,6.305,Regular,0.123115764,Snack Foods,95,OUT046,1997,Small,Tier 1,Supermarket Type1,661
FDN27,20.85,Low Fat,0.039624006,Meat,117,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122,OUT010,1998,,Tier 3,Grocery Store,369
DRG27,8.895,Low Fat,0.105274111,Dairy,39,OUT049,1999,Medium,Tier 1,Supermarket Type1,690
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55,OUT045,2002,,Tier 2,Supermarket Type1,1381
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57,OUT035,2004,Small,Tier 2,Supermarket Type1,622
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114,OUT035,2004,Small,Tier 2,Supermarket Type1,1274
FDU04,,Low Fat,0.009714595,Frozen Foods,120,OUT019,1985,Small,Tier 1,Grocery Store,487
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187,OUT035,2004,Small,Tier 2,Supermarket Type1,3755
NCP18,,Low Fat,0.028459761,Household,149,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187,OUT046,1997,Small,Tier 1,Supermarket Type1,1314
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151,OUT045,2002,,Tier 2,Supermarket Type1,1805
FDD10,,Regular,0.045797829,Snack Foods,178,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854
FDW57,8.31,Regular,0.115857223,Snack Foods,179,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896
DRB48,16.75,Regular,0.024832806,Soft Drinks,38,OUT013,1987,High,Tier 3,Supermarket Type1,667
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185
FDH14,17.1,Regular,0.0467696,Canned,141,OUT013,1987,High,Tier 3,Supermarket Type1,2247
FDA47,10.5,Regular,0.116576702,Baking Goods,163,OUT013,1987,High,Tier 3,Supermarket Type1,1794
FDG12,6.635,Regular,0,Baking Goods,121,OUT045,2002,,Tier 2,Supermarket Type1,2530
DRE60,,low fat,0.278974075,Soft Drinks,225,OUT019,1985,Small,Tier 1,Grocery Store,679
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41,OUT013,1987,High,Tier 3,Supermarket Type1,812
FDD03,13.3,Low Fat,0.079806266,Dairy,232,OUT046,1997,Small,Tier 1,Supermarket Type1,699
FDS52,8.89,low fat,0.005505481,Frozen Foods,102,OUT017,2007,,Tier 2,Supermarket Type1,2732
FDW39,,Regular,0.064625342,Meat,176,OUT019,1985,Small,Tier 1,Grocery Store,176
FDX34,,Low Fat,0.071636937,Snack Foods,121,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097
FDV11,9.1,Regular,0,Breads,173,OUT045,2002,,Tier 2,Supermarket Type1,3151
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192,OUT017,2007,,Tier 2,Supermarket Type1,4843
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109,OUT035,2004,Small,Tier 2,Supermarket Type1,2542
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140,OUT017,2007,,Tier 2,Supermarket Type1,2552
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141
NCF19,13,Low Fat,0.035307322,Household,47,OUT017,2007,,Tier 2,Supermarket Type1,680
DRJ13,12.65,LF,0.063017847,Soft Drinks,159,OUT045,2002,,Tier 2,Supermarket Type1,2085
FDB14,20.25,Regular,0.171938781,Canned,92,OUT010,1998,,Tier 3,Grocery Store,186
FDJ38,8.6,Regular,0.040197932,Canned,190,OUT035,2004,Small,Tier 2,Supermarket Type1,3036
FDW11,12.6,Low Fat,0.049058014,Breads,62,OUT017,2007,,Tier 2,Supermarket Type1,866
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95,OUT035,2004,Small,Tier 2,Supermarket Type1,868
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82,OUT046,1997,Small,Tier 1,Supermarket Type1,1137
FDV38,19.25,Low Fat,0.102349519,Dairy,52,OUT017,2007,,Tier 2,Supermarket Type1,928
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151,OUT013,1987,High,Tier 3,Supermarket Type1,762
NCP30,20.5,Low Fat,0.032835147,Household,40,OUT045,2002,,Tier 2,Supermarket Type1,707
FDY25,,Low Fat,0.033809913,Canned,180,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968
NCH54,13.5,Low Fat,0.07266912,Household,160,OUT046,1997,Small,Tier 1,Supermarket Type1,1438
NCR53,,Low Fat,0.144338493,Health and Hygiene,224,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101,OUT010,1998,,Tier 3,Grocery Store,101
FDG02,7.855,Low Fat,0.011307038,Canned,188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952
NCO26,7.235,Low Fat,0.076855628,Household,116,OUT046,1997,Small,Tier 1,Supermarket Type1,1969
FDH35,,Low Fat,0.059956876,Starchy Foods,165,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262
FDB51,6.92,Low Fat,0.038532062,Dairy,60,OUT045,2002,,Tier 2,Supermarket Type1,1314
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90,OUT017,2007,,Tier 2,Supermarket Type1,535
NCN07,18.5,Low Fat,0.056816465,Others,132,OUT010,1998,,Tier 3,Grocery Store,263
NCC31,8.02,Low Fat,0.019866705,Household,154,OUT035,2004,Small,Tier 2,Supermarket Type1,1402
NCX54,9.195,Low Fat,0.048331717,Household,105,OUT017,2007,,Tier 2,Supermarket Type1,1693
NCO55,12.8,Low Fat,0.091221855,Others,105,OUT045,2002,,Tier 2,Supermarket Type1,2143
NCC30,16.6,Low Fat,0.027622076,Household,177,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676
FDI16,14,Regular,0,Frozen Foods,53,OUT035,2004,Small,Tier 2,Supermarket Type1,905
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370
FDB11,16,Low Fat,0.060836524,Starchy Foods,226,OUT035,2004,Small,Tier 2,Supermarket Type1,6301
NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160,OUT035,2004,Small,Tier 2,Supermarket Type1,1597
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178,OUT035,2004,Small,Tier 2,Supermarket Type1,529
NCO26,7.235,Low Fat,0.076841095,Household,117,OUT035,2004,Small,Tier 2,Supermarket Type1,1969
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50,OUT017,2007,,Tier 2,Supermarket Type1,1034
FDR28,13.85,reg,0.026001976,Frozen Foods,161,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794
FDI04,13.65,Regular,0.073209447,Frozen Foods,197,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768
DRK12,,Low Fat,0.041683481,Soft Drinks,31,OUT027,1985,Medium,Tier 3,Supermarket Type3,898
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226,OUT046,1997,Small,Tier 1,Supermarket Type1,3169
NCI18,18.35,Low Fat,0.014081156,Household,223,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589
FDB36,5.465,Regular,0,Baking Goods,132,OUT018,2009,Medium,Tier 3,Supermarket Type2,262
FDN13,18.6,Low Fat,0.152918384,Breakfast,99,OUT017,2007,,Tier 2,Supermarket Type1,1910
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140,OUT017,2007,,Tier 2,Supermarket Type1,1701
FDQ28,14,Regular,0.060376776,Frozen Foods,154,OUT013,1987,High,Tier 3,Supermarket Type1,2471
FDM22,14,Regular,0.04192285,Snack Foods,54,OUT013,1987,High,Tier 3,Supermarket Type1,1331
FDR07,,Low Fat,0.077367431,Fruits and Vegetables,97,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808
FDV25,5.905,Low Fat,0.045838211,Canned,222,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114,OUT046,1997,Small,Tier 1,Supermarket Type1,2618
FDW51,6.155,Regular,0.094659871,Meat,214,OUT046,1997,Small,Tier 1,Supermarket Type1,2769
DRL01,19.5,Regular,0.077608838,Soft Drinks,233,OUT017,2007,,Tier 2,Supermarket Type1,5375
FDP25,15.2,Low Fat,0.021327477,Canned,216,OUT017,2007,,Tier 2,Supermarket Type1,2838
FDL50,12.15,Regular,0.042485444,Canned,125,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743
NCB30,,Low Fat,0.025578526,Household,198,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555
FDW11,12.6,Low Fat,0.0489808,Breads,61,OUT018,2009,Medium,Tier 3,Supermarket Type2,619
NCM43,14.5,Low Fat,0.019471688,Others,164,OUT035,2004,Small,Tier 2,Supermarket Type1,2120
FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173,OUT017,2007,,Tier 2,Supermarket Type1,3823
FDM15,11.8,Regular,0.057373797,Meat,151,OUT013,1987,High,Tier 3,Supermarket Type1,1360
FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178,OUT013,1987,High,Tier 3,Supermarket Type1,3969
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115,OUT010,1998,,Tier 3,Grocery Store,345
FDR47,17.85,LF,0,Breads,196,OUT010,1998,,Tier 3,Grocery Store,585
FDB35,12.3,Regular,0.064750025,Starchy Foods,92,OUT045,2002,,Tier 2,Supermarket Type1,1010
NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81,OUT010,1998,,Tier 3,Grocery Store,161
DRY23,,Regular,0.191013663,Soft Drinks,42,OUT019,1985,Small,Tier 1,Grocery Store,42
FDO24,11.1,Low Fat,0.176573035,Baking Goods,157,OUT045,2002,,Tier 2,Supermarket Type1,3010
FDQ28,,Regular,0.060134441,Frozen Foods,153,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024
FDV39,11.3,Low Fat,0.007294652,Meat,198,OUT045,2002,,Tier 2,Supermarket Type1,988
NCO17,,Low Fat,0.128478462,Health and Hygiene,117,OUT019,1985,Small,Tier 1,Grocery Store,239
FDU50,5.75,Regular,0.075107656,Dairy,112,OUT013,1987,High,Tier 3,Supermarket Type1,1374
FDT12,,Regular,0.049381406,Baking Goods,226,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739
FDK58,11.35,Regular,0.045165796,Snack Foods,100,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012
FDO08,,Regular,0.09415375,Fruits and Vegetables,165,OUT019,1985,Small,Tier 1,Grocery Store,657
NCW29,14,Low Fat,0.028907832,Health and Hygiene,130,OUT049,1999,Medium,Tier 1,Supermarket Type1,778
FDE04,19.75,Regular,0.018059621,Frozen Foods,179,OUT045,2002,,Tier 2,Supermarket Type1,2336
NCB19,6.525,Low Fat,0.090436094,Household,85,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233
FDV15,10.3,Low Fat,0.146399712,Meat,103,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661
FDL58,5.78,Regular,0.074264356,Snack Foods,264,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745
FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164,OUT045,2002,,Tier 2,Supermarket Type1,3124
FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50,OUT018,2009,Medium,Tier 3,Supermarket Type2,467
NCX06,,Low Fat,0.01561108,Household,182,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070
FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37,OUT046,1997,Small,Tier 1,Supermarket Type1,540
FDB41,19,Regular,0.097313129,Frozen Foods,48,OUT046,1997,Small,Tier 1,Supermarket Type1,992
NCN55,14.6,Low Fat,0.059582996,Others,238,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008
FDE40,,Regular,0.098663652,Dairy,62,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105
FDX49,,reg,0.101338651,Canned,232,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359
NCM53,18.75,Low Fat,0.052146456,Health and Hygiene,104,OUT045,2002,,Tier 2,Supermarket Type1,745
FDE36,5.26,Regular,0.041764487,Baking Goods,161,OUT035,2004,Small,Tier 2,Supermarket Type1,3275
FDN57,18.25,Low Fat,0.054344186,Snack Foods,140,OUT045,2002,,Tier 2,Supermarket Type1,1701
FDI24,,Low Fat,0.078362484,Baking Goods,177,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704
FDI19,15.1,Low Fat,0.052339069,Meat,242,OUT046,1997,Small,Tier 1,Supermarket Type1,4119
FDF24,15.5,Regular,0.042464962,Baking Goods,81,OUT010,1998,,Tier 3,Grocery Store,327
FDG52,13.65,Low Fat,0.065732883,Frozen Foods,45,OUT049,1999,Medium,Tier 1,Supermarket Type1,780
DRF36,16.1,LF,0.023625114,Soft Drinks,189,OUT045,2002,,Tier 2,Supermarket Type1,3630
FDS45,,Regular,0.051643608,Snack Foods,107,OUT019,1985,Small,Tier 1,Grocery Store,317
FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39,OUT010,1998,,Tier 3,Grocery Store,231
DRK12,9.5,LF,0.041878397,Soft Drinks,32,OUT035,2004,Small,Tier 2,Supermarket Type1,133
DRC27,13.8,Low Fat,0.058091482,Dairy,245,OUT035,2004,Small,Tier 2,Supermarket Type1,5650
FDL58,5.78,Regular,0,Snack Foods,263,OUT017,2007,,Tier 2,Supermarket Type1,2636
NCD30,19.7,Low Fat,0.026903714,Household,96,OUT045,2002,,Tier 2,Supermarket Type1,1272
NCZ54,14.65,Low Fat,0,Household,161,OUT010,1998,,Tier 3,Grocery Store,324
FDE10,6.67,Regular,0.150554711,Snack Foods,130,OUT010,1998,,Tier 3,Grocery Store,131
FDR44,6.11,Regular,0,Fruits and Vegetables,131,OUT010,1998,,Tier 3,Grocery Store,260
FDP28,13.65,Regular,0.134975628,Frozen Foods,260,OUT010,1998,,Tier 3,Grocery Store,260
FDX15,17.2,Low Fat,0.15616879,Meat,160,OUT013,1987,High,Tier 3,Supermarket Type1,3690
FDA39,6.32,LF,0,Meat,40,OUT035,2004,Small,Tier 2,Supermarket Type1,1139
FDY24,4.88,Regular,0.133700752,Baking Goods,52,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995
FDC60,5.425,Regular,0.115119905,Baking Goods,88,OUT017,2007,,Tier 2,Supermarket Type1,1416
FDH28,15.85,Regular,0.110030997,Frozen Foods,37,OUT046,1997,Small,Tier 1,Supermarket Type1,265
FDT25,7.5,Low Fat,0.051038045,Canned,121,OUT017,2007,,Tier 2,Supermarket Type1,3552
DRJ13,12.65,Low Fat,0.062837968,Soft Drinks,161,OUT013,1987,High,Tier 3,Supermarket Type1,2406
NCO07,,Low Fat,0.017116983,Others,211,OUT019,1985,Small,Tier 1,Grocery Store,213
FDW20,20.75,Low Fat,0.024129332,Fruits and Vegetables,124,OUT013,1987,High,Tier 3,Supermarket Type1,2956
DRF27,,Low Fat,0.049754975,Dairy,152,OUT019,1985,Small,Tier 1,Grocery Store,153
FDS49,9,Low Fat,0,Canned,79,OUT035,2004,Small,Tier 2,Supermarket Type1,1649
FDX25,,Low Fat,0.101561568,Canned,181,OUT027,1985,Medium,Tier 3,Supermarket Type3,3101
NCX42,,Low Fat,0.005949644,Household,165,OUT027,1985,Medium,Tier 3,Supermarket Type3,4769
FDG33,,Regular,0.13956116,Seafood,170,OUT027,1985,Medium,Tier 3,Supermarket Type3,3435
FDL56,14.1,Low Fat,0.126035694,Fruits and Vegetables,86,OUT045,2002,,Tier 2,Supermarket Type1,1133
FDF14,7.55,Low Fat,0.027164679,Canned,152,OUT035,2004,Small,Tier 2,Supermarket Type1,2603
NCD06,13,Low Fat,0.099325278,Household,45,OUT046,1997,Small,Tier 1,Supermarket Type1,605
DRM47,,Low Fat,0.04357366,Hard Drinks,192,OUT027,1985,Medium,Tier 3,Supermarket Type3,2293
FDS46,,Regular,0.082741482,Snack Foods,118,OUT019,1985,Small,Tier 1,Grocery Store,119
FDB35,12.3,Regular,0.064565202,Starchy Foods,92,OUT013,1987,High,Tier 3,Supermarket Type1,1929
FDX21,,LF,0.084554569,Snack Foods,109,OUT027,1985,Medium,Tier 3,Supermarket Type3,2074
NCU05,,Low Fat,0.058451805,Health and Hygiene,79,OUT027,1985,Medium,Tier 3,Supermarket Type3,241
NCR38,17.25,Low Fat,0.113748685,Household,251,OUT045,2002,,Tier 2,Supermarket Type1,6795
NCR18,15.85,Low Fat,0.020603511,Household,42,OUT017,2007,,Tier 2,Supermarket Type1,639
NCU41,18.85,Low Fat,0.052044976,Health and Hygiene,192,OUT035,2004,Small,Tier 2,Supermarket Type1,3248
FDY56,16.35,Regular,0.062764429,Fruits and Vegetables,227,OUT017,2007,,Tier 2,Supermarket Type1,7222
DRJ51,14.1,Low Fat,0.087977262,Dairy,229,OUT035,2004,Small,Tier 2,Supermarket Type1,3225
FDK21,7.905,Low Fat,0.010010425,Snack Foods,249,OUT035,2004,Small,Tier 2,Supermarket Type1,3755
